2016/10,北區,體育館 ,籃排球場,行政,1074.31,
2016/10,北區,中正堂 ,1F郵局L燈力,外租,875.18,
2016/10,北區,第一招待所 ,主迴路 ,宿舍,712.7,
2016/10,北區,學生十舍,學生交誼廳 ,宿舍,634.99,
2016/10,北區,活動中心,洗衣部 ,外租,389.09,
2016/10,北區,資訊館(北區) ,主迴路 ,行政,158.02,
2016/10,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,76,
2016/10,南區,學生八舍,主迴路 ,宿舍,245704.402631579,
2016/10,南區,學生七舍,主迴路 ,宿舍,0,
2016/10,南區,學生七舍,環校路燈,行政,0,
2016/10,北區,第二餐廳,2F水果部P動力,外租,0,
2016/10,南區,南區總電站 ,,電站,0,
2016/10,南區,機車Ｈ棚,主迴路 ,行政,,2
