Date,Area,Building_name,Loop,Type,Usage
2017/02/05,南區,學生七舍_八舍,主迴路,宿舍,1204
2017/01/05,南區,研究生二舍,主迴路,宿舍,1204
2016/12/20,南區,研究生二舍,主迴路,宿舍,1204
2016/12/06,南區,研究生二舍,主迴路,宿舍,1204
2017/02/23,北區,學生十舍,主迴路,宿舍,1204.03
2017/08/30,南區,服務大樓,主迴路,行政,1204.25
2017/06/14,北區,管理一館,主迴路,教學,1204.31
2017/03/24,南區,土木結構,主迴路,教學,1204.5
2017/01/12,南區,服務大樓,主迴路,行政,1204.5
2016/12/08,南區,土木結構,主迴路,教學,1204.5
2016/11/02,南區,土木結構,主迴路,教學,1204.5
2016/12/06,北區,學生九舍,主迴路,宿舍,1205
2017/07/09,北區,學生十一舍_研一舍,主迴路,宿舍,1205.25
