Date,Area,Building_name,Loop,Type,Usage
2017/01/15,南區,研究生二舍,主迴路,宿舍,1276
2017/05/24,北區,竹軒宿舍,主迴路,宿舍,1276.25
2017/01/19,北區,體育館,主迴路,行政,1276.5
2017/01/14,南區,交映樓,主迴路,教學,1276.5
2016/11/07,南區,服務大樓,主迴路,行政,1276.5
2016/11/05,北區,學生十舍,主迴路,宿舍,1276.66
2017/03/03,南區,研究生二舍,主迴路,宿舍,1277
2017/02/26,北區,活動中心,主迴路,行政,1277.58
2016/11/02,北區,學生九舍,主迴路,宿舍,1277.75
2016/10/11,南區,研究生二舍,主迴路,宿舍,1278
2017/04/20,北區,工程二館,主迴路,教學,1278.31
2017/02/13,南區,管理二館,主迴路,教學,1278.5
2017/08/26,北區,科學一館,主迴路,教學,1278.63
2016/11/07,北區,體育館,主迴路,行政,1279.09
2017/05/15,北區,學生十一舍_研一舍,主迴路,宿舍,1279.25
2017/06/14,南區,服務大樓,主迴路,行政,1280
2017/01/25,南區,綜合一館,主迴路,教學,1280
2017/05/10,北區,管理一館,主迴路,教學,1280.13
2017/04/23,南區,綜合一館,主迴路,教學,1280.5
2017/03/31,南區,土木結構,主迴路,教學,1280.5
2017/02/22,北區,學生十舍,主迴路,宿舍,1281.06
2016/09/27,北區,竹軒宿舍,主迴路,宿舍,1281.19
2016/10/29,南區,服務大樓,主迴路,行政,1281.25
2016/10/31,北區,工程二館,主迴路,教學,1281.75
2017/07/14,北區,中正堂,主迴路,行政,1282
2016/11/27,南區,交映樓,主迴路,教學,1282
2017/05/22,北區,人社一館,主迴路,教學,1282.16
2016/10/14,北區,體育館,主迴路,行政,1282.44
2016/10/11,北區,工程二館,主迴路,教學,1282.53
2017/04/08,北區,科學一館,主迴路,教學,1282.69
2017/03/28,南區,土木結構,主迴路,教學,1283
2017/03/16,南區,研究生二舍,主迴路,宿舍,1283
2017/01/21,南區,綜合一館,主迴路,教學,1283
2016/11/08,南區,土木結構,主迴路,教學,1283
2017/03/22,北區,體育館,主迴路,行政,1283.25
2017/05/31,北區,竹軒宿舍,主迴路,宿舍,1283.47
2017/04/01,北區,活動中心,主迴路,行政,1283.47
2017/01/13,北區,科學一館,主迴路,教學,1283.5
2017/03/28,北區,環保大樓,主迴路,教學,1283.53
2017/06/02,北區,體育館,主迴路,行政,1283.81
2017/03/15,南區,研究生二舍,主迴路,宿舍,1284
2017/02/28,南區,研究生二舍,主迴路,宿舍,1284.5
2017/04/23,南區,研究生二舍,主迴路,宿舍,1285
2017/08/10,北區,第二餐廳,1F動力1,外租,1285.25
2017/02/23,北區,環保大樓,主迴路,教學,1285.28
2017/06/06,南區,服務大樓,主迴路,行政,1285.5
2016/11/27,南區,研究生二舍,主迴路,宿舍,1285.5
2016/09/24,北區,學生十一舍_研一舍,主迴路,宿舍,1285.5
2017/07/14,北區,第二餐廳,1F動力1,外租,1285.5
2017/06/20,南區,服務大樓,主迴路,行政,1285.75
2017/03/22,北區,學生十舍,主迴路,宿舍,1285.88
2016/11/14,北區,體育館,主迴路,行政,1286.38
2017/04/30,南區,研究生二舍,主迴路,宿舍,1286.5
2017/06/06,北區,竹軒宿舍,主迴路,宿舍,1286.56
2017/07/31,北區,工程二館,主迴路,教學,1286.63
2017/03/19,南區,綜合一館,主迴路,教學,1287
2017/02/02,北區,活動中心,主迴路,行政,1287.02
2017/02/08,北區,環保大樓,主迴路,教學,1287.33
