時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/11/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/11/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/01,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/02,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/03,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/04,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/05,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/06,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/07,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/08,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/09,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2016/12/31,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2017/01/01,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2017/01/02,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2017/01/03,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2017/01/04,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2017/01/05,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2017/01/06,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
