時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2017/11/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10025.00
2017/11/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9129.00
2017/11/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8089.00
2017/11/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8936.00
2017/11/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9513.00
2017/11/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9330.00
2017/11/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8068.00
2017/11/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6976.00
2017/11/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6241.00
2017/11/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6193.00
2017/11/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8232.00
2017/11/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9867.00
2017/11/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9803.00
2017/11/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9715.00
2017/12/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9356.00
2017/12/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8501.00
2017/12/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8363.00
