時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/11/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11556.00
2016/11/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11242.50
2016/11/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10391.00
2016/11/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10084.00
2016/11/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11410.50
2016/11/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11468.50
2016/11/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11049.00
2016/11/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10886.00
2016/11/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10808.00
2016/11/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10132.00
2016/11/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8001.00
2016/11/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9253.00
2016/11/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10275.00
2016/11/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10595.50
2016/12/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10217.50
2016/12/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9975.00
2016/12/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9442.00
2016/12/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9296.00
2016/12/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10269.00
2016/12/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10106.00
2016/12/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9990.00
2016/12/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10106.00
2016/12/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9811.00
2016/12/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9192.00
2016/12/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9028.50
2016/12/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10276.00
2016/12/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10443.50
2016/12/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10052.00
2016/12/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8541.00
2016/12/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8145.00
2016/12/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7095.00
2016/12/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6793.50
2016/12/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7898.50
2016/12/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8626.00
2016/12/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8331.00
2016/12/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8098.00
2016/12/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7632.00
2016/12/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6686.00
2016/12/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,6863.00
2016/12/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7845.00
2016/12/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7984.00
2016/12/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7982.50
