時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2015/10/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8729.00
2015/10/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10259.00
2015/10/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10504.75
2015/10/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10349.50
2015/10/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10638.50
2015/10/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10488.00
2015/10/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9356.25
2015/10/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9501.50
2015/10/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10852.25
2015/10/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11073.75
2015/10/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10813.25
2015/10/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11119.00
2015/10/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10269.50
2015/10/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8964.50
2015/11/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8699.25
2015/11/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9217.50
2015/11/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9929.50
2015/11/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10454.25
2015/11/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11051.50
2015/11/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10806.00
2015/11/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9651.25
2015/11/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9290.50
2015/11/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10786.50
2015/11/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10348.25
2015/11/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10234.50
2015/11/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11074.50
2015/11/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10806.25
2015/11/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9920.25
2015/11/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9916.25
2015/11/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10703.25
2015/11/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11376.75
2015/11/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11312.75
2015/11/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11443.00
2015/11/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11376.25
2015/11/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9707.25
2015/11/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9821.25
2015/11/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10792.00
2015/11/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10436.25
2015/11/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10360.25
2015/11/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9859.75
2015/11/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9351.75
2015/11/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8454.75
2015/11/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8513.50
2015/11/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9413.50
2015/12/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9594.75
2015/12/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9573.75
2015/12/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9135.75
2015/12/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8720.00
2015/12/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8589.25
2015/12/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8209.50
2015/12/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8927.75
2015/12/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9191.75
2015/12/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9396.00
2015/12/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9399.50
2015/12/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9254.50
2015/12/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8466.00
2015/12/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8888.00
2015/12/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9495.00
2015/12/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9300.25
2015/12/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9003.00
2015/12/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8767.00
2015/12/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8476.50
2015/12/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8222.75
2015/12/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8099.50
2015/12/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9174.50
2015/12/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9679.50
2015/12/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9537.75
2015/12/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9552.25
2015/12/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8813.00
2015/12/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8114.00
2015/12/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8114.75
2015/12/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8579.25
2015/12/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8738.25
2015/12/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8779.50
2015/12/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8298.00
2016/01/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7621.00
2016/01/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7641.00
2016/01/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7687.50
