時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2017/07,North,DinningHall2                ,2F快餐部P動力,Rented                  ,5148.16
2017/07,North,ActivityCenter,華通空調                ,Rented                  ,4841.77
2017/07,North,DinningHall2                ,1F燈力,Rented                  ,4111.23
2017/07,North,Admin_bd,主迴路                 ,Admin                  ,3294.97
2017/07,North,EECS,網球場動力               ,Admin                  ,2458.06
2017/07,North,DinningHall2                ,2F水果部P動力,Rented                  ,2058.2
2017/07,North,ActivityCenter,思源                  ,Admin                  ,2013.69
2017/07,North,CCAuditorium,1F郵局P動力,Rented                  ,1909.66
2017/07,North,DinningHall2                ,2F素食部L燈力,Rented                  ,1890.59
2017/07,North,DinningHall2                ,2F快餐部L燈力,Rented                  ,1836.2
2017/07,North,DinningHall2                ,2F水果部L燈力,Rented                  ,1828.14
2017/07,North,ActivityCenter,眼鏡部                 ,Rented                  ,1821.73
2017/07,North,Gym,司令台                 ,Admin                  ,1760.23
2017/07,North,DinningHall2                ,3F員工餐廳L燈力,Rented                  ,1472.36
2017/07,North,ActivityCenter,華通燈插                ,Rented                  ,1379.52
2017/07,North,ActivityCenter,理髮部                 ,Rented                  ,1352.01
2017/07,North,ActivityCenter,美髮部                 ,Rented                  ,1277.14
2017/07,North,DinningHall2                ,3F教職員餐廳L燈力,Rented                  ,1240.32
2017/07,North,CCAuditorium,1F郵局L燈力,Rented                  ,1144.46
2017/07,North,EECS,網球場燈力               ,Admin                  ,1118.54
2017/07,North,First_dorm,主迴路                 ,Dorm                  ,888.55
2017/07,North,Gym,籃排球場                ,Admin                  ,871.92
2017/07,North,ActivityCenter,洗衣部                 ,Rented                  ,348.27
2017/07,North,SD10,學生交誼廳               ,Dorm                  ,45.19
2017/07,North,ActivityCenter,空調R                 ,Admin                  ,0
2017/07,North,Info(North),主迴路                 ,Admin                  ,0
2017/07,North,Badminton,主迴路                 ,Admin                  ,0
2017/07,North,WasteWater,主迴路                 ,Admin                  ,0
2017/06,North,DinningHall2                ,1F動力2,Rented                  ,703146.8
2017/06,North,Tien_gia_bin,主迴路                 ,Teach                  ,379082
2017/06,North,SC,主迴路                 ,Teach                  ,331706
2017/06,North,DinningHall2                ,2F素食部P動力,Rented                  ,323569
2017/06,North,EECS,主迴路                 ,Teach                  ,290348
