weekday;date;area;bd_name;loop;types;Usage
1;2016/11/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;11141
2;2016/11/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;11323
3;2016/11/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;10367
4;2016/11/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;9758
5;2016/11/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;10164
6;2016/11/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;8192
7;2016/11/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;7806
1;2016/11/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;9032
2;2016/11/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;9341
3;2016/11/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;9678
4;2016/12/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;9621
5;2016/12/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;9270
6;2016/12/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;8009
7;2016/12/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;7904
1;2016/12/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;9968
2;2016/12/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;9438
3;2016/12/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;9477
4;2016/12/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;9818
5;2016/12/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;9641
6;2016/12/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;8104
7;2016/12/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;7983
1;2016/12/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;9741
2;2016/12/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;10022
3;2016/12/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;9613
4;2016/12/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;9127
5;2016/12/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;8695
6;2016/12/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;7710
7;2016/12/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;7609
1;2016/12/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;9566
2;2016/12/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;10258
3;2016/12/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;10403
4;2016/12/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;9895
5;2016/12/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;9076
6;2016/12/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;7797
7;2016/12/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;7944
1;2016/12/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;9858
2;2016/12/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;9026
3;2016/12/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;8628
4;2016/12/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;8475
5;2016/12/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;8235
6;2016/12/31;南區                  ;工程四館                ;主迴路                 ;教學                  ;6996
7;2017/01/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;7190
1;2017/01/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;7949
2;2017/01/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;9599
3;2017/01/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;9814
4;2017/01/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;9762
5;2017/01/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;9788
6;2017/01/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;8543
7;2017/01/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;8384
1;2017/01/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;9258
2;2017/01/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;9308
3;2017/01/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;9460
4;2017/01/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;9472
5;2017/01/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;8712
6;2017/01/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;7561
7;2017/01/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;7118
1;2017/01/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;8223
2;2017/01/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;8536
3;2017/01/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;8650
4;2017/01/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;8752
5;2017/01/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;7909
6;2017/01/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;6907
7;2017/01/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;6860
1;2017/01/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;7563
2;2017/01/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;0
3;2017/01/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;5942
4;2017/01/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;5240
5;2017/01/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;5129
6;2017/01/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;5146
7;2017/01/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;5173
1;2017/01/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;5277
2;2017/01/31;南區                  ;工程四館                ;主迴路                 ;教學                  ;5202
3;2017/02/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;5353
4;2017/02/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;5924
5;2017/02/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;6283
6;2017/02/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;5951
7;2017/02/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;6016
1;2017/02/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;7126
2;2017/02/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;7269
3;2017/02/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;7384
4;2017/02/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;7444
5;2017/02/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;7299
6;2017/02/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;6153
7;2017/02/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;6237
1;2017/02/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;7860
2;2017/02/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;7950
3;2017/02/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;8094
4;2017/02/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;8462
5;2017/02/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;8439
6;2017/02/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;7524
7;2017/02/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;7204
1;2017/02/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;8989
2;2017/02/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;9140
3;2017/02/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;9064
4;2017/02/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;8724
5;2017/02/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;7877
6;2017/02/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;6439
7;2017/02/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;6305
1;2017/02/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;6442
2;2017/02/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;6666
3;2017/03/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;8051
4;2017/03/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;8048
5;2017/03/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;7952
6;2017/03/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;6960
7;2017/03/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;7102
1;2017/03/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;8215
2;2017/03/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;8240
3;2017/03/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;8229
4;2017/03/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;8295
5;2017/03/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;8000
6;2017/03/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;6959
7;2017/03/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;7154
1;2017/03/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;8727
2;2017/03/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;8381
3;2017/03/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;8348
4;2017/03/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;8427
5;2017/03/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;8085
6;2017/03/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;7143
7;2017/03/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;7216
1;2017/03/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;9101
2;2017/03/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;9072
3;2017/03/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;9323
4;2017/03/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;9226
5;2017/03/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;8959
6;2017/03/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;7407
7;2017/03/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;6919
1;2017/03/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;8501
2;2017/03/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;8995
3;2017/03/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;9369
4;2017/03/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;9592
5;2017/03/31;南區                  ;工程四館                ;主迴路                 ;教學                  ;9082
6;2017/04/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;6692
