,Date,Weekday,Area,Building_name,Loop,Usage
84,2016-11-24,4,北區,中正堂,1F郵局L燈力,2.63
85,2016-11-25,5,北區,中正堂,1F郵局L燈力,5.41
86,2016-11-26,6,北區,中正堂,1F郵局L燈力,2.44
87,2016-11-27,7,北區,中正堂,1F郵局L燈力,2.42
88,2016-11-28,1,北區,中正堂,1F郵局L燈力,2.38
89,2016-11-29,2,北區,中正堂,1F郵局L燈力,3.13
90,2016-11-30,3,北區,中正堂,1F郵局L燈力,3.36
91,2016-12-01,4,北區,中正堂,1F郵局L燈力,2.21
92,2016-12-02,5,北區,中正堂,1F郵局L燈力,2.7
93,2016-12-03,6,北區,中正堂,1F郵局L燈力,2.42
94,2016-12-04,7,北區,中正堂,1F郵局L燈力,2.43
95,2016-12-05,1,北區,中正堂,1F郵局L燈力,4.01
96,2016-12-06,2,北區,中正堂,1F郵局L燈力,2.32
97,2016-12-07,3,北區,中正堂,1F郵局L燈力,2.7
98,2016-12-08,4,北區,中正堂,1F郵局L燈力,2.81
99,2016-12-09,5,北區,中正堂,1F郵局L燈力,3.71
100,2016-12-10,6,北區,中正堂,1F郵局L燈力,2.43
101,2016-12-11,7,北區,中正堂,1F郵局L燈力,2.47
102,2016-12-12,1,北區,中正堂,1F郵局L燈力,6.5
103,2016-12-13,2,北區,中正堂,1F郵局L燈力,9.37
104,2016-12-14,3,北區,中正堂,1F郵局L燈力,2.83
105,2016-12-15,4,北區,中正堂,1F郵局L燈力,2.48
106,2016-12-16,5,北區,中正堂,1F郵局L燈力,2.47
107,2016-12-17,6,北區,中正堂,1F郵局L燈力,2.51
108,2016-12-18,7,北區,中正堂,1F郵局L燈力,2.51
109,2016-12-19,1,北區,中正堂,1F郵局L燈力,4.93
110,2016-12-20,2,北區,中正堂,1F郵局L燈力,15.64
111,2016-12-21,3,北區,中正堂,1F郵局L燈力,16.32
112,2016-12-22,4,北區,中正堂,1F郵局L燈力,11.2
113,2016-12-23,5,北區,中正堂,1F郵局L燈力,3.71
114,2016-12-24,6,北區,中正堂,1F郵局L燈力,2.46
115,2016-12-25,7,北區,中正堂,1F郵局L燈力,2.51
116,2016-12-26,1,北區,中正堂,1F郵局L燈力,5.78
117,2016-12-27,2,北區,中正堂,1F郵局L燈力,2.44
118,2016-12-28,3,北區,中正堂,1F郵局L燈力,2.41
119,2016-12-29,4,北區,中正堂,1F郵局L燈力,2.46
120,2016-12-30,5,北區,中正堂,1F郵局L燈力,3.16
121,2016-12-31,6,北區,中正堂,1F郵局L燈力,2.46
122,2017-01-01,7,北區,中正堂,1F郵局L燈力,2.49
123,2017-01-02,1,北區,中正堂,1F郵局L燈力,2.48
124,2017-01-03,2,北區,中正堂,1F郵局L燈力,3.41
125,2017-01-04,3,北區,中正堂,1F郵局L燈力,4.97
126,2017-01-05,4,北區,中正堂,1F郵局L燈力,3.19
127,2017-01-06,5,北區,中正堂,1F郵局L燈力,4.09
128,2017-01-07,6,北區,中正堂,1F郵局L燈力,2.48
129,2017-01-08,7,北區,中正堂,1F郵局L燈力,2.48
130,2017-01-09,1,北區,中正堂,1F郵局L燈力,2.49
131,2017-01-10,2,北區,中正堂,1F郵局L燈力,4.59
132,2017-01-11,3,北區,中正堂,1F郵局L燈力,4.53
133,2017-01-12,4,北區,中正堂,1F郵局L燈力,2.46
134,2017-01-13,5,北區,中正堂,1F郵局L燈力,2.46
135,2017-01-14,6,北區,中正堂,1F郵局L燈力,2.49
136,2017-01-15,7,北區,中正堂,1F郵局L燈力,2.49
137,2017-01-16,1,北區,中正堂,1F郵局L燈力,2.45
138,2017-01-17,2,北區,中正堂,1F郵局L燈力,3.1
139,2017-01-18,3,北區,中正堂,1F郵局L燈力,2.92
140,2017-01-19,4,北區,中正堂,1F郵局L燈力,2.64
141,2017-01-20,5,北區,中正堂,1F郵局L燈力,2.41
142,2017-01-21,6,北區,中正堂,1F郵局L燈力,2.46
143,2017-01-22,7,北區,中正堂,1F郵局L燈力,2.48
144,2017-01-23,1,北區,中正堂,1F郵局L燈力,2.49
145,2017-01-24,2,北區,中正堂,1F郵局L燈力,2.47
146,2017-01-25,3,北區,中正堂,1F郵局L燈力,2.5
147,2017-01-26,4,北區,中正堂,1F郵局L燈力,2.51
148,2017-01-27,5,北區,中正堂,1F郵局L燈力,2.53
149,2017-01-28,6,北區,中正堂,1F郵局L燈力,2.51
150,2017-01-29,7,北區,中正堂,1F郵局L燈力,2.53
151,2017-01-30,1,北區,中正堂,1F郵局L燈力,2.5
152,2017-01-31,2,北區,中正堂,1F郵局L燈力,2.49
153,2017-02-01,3,北區,中正堂,1F郵局L燈力,2.48
154,2017-02-02,4,北區,中正堂,1F郵局L燈力,2.47
155,2017-02-03,5,北區,中正堂,1F郵局L燈力,2.98
156,2017-02-04,6,北區,中正堂,1F郵局L燈力,2.49
157,2017-02-05,7,北區,中正堂,1F郵局L燈力,2.54
158,2017-02-06,1,北區,中正堂,1F郵局L燈力,3.2
159,2017-02-07,2,北區,中正堂,1F郵局L燈力,2.54
160,2017-02-08,3,北區,中正堂,1F郵局L燈力,2.51
161,2017-02-09,4,北區,中正堂,1F郵局L燈力,2.54
162,2017-02-10,5,北區,中正堂,1F郵局L燈力,2.54
163,2017-02-11,6,北區,中正堂,1F郵局L燈力,2.54
164,2017-02-12,7,北區,中正堂,1F郵局L燈力,2.59
165,2017-02-13,1,北區,中正堂,1F郵局L燈力,2.54
166,2017-02-14,2,北區,中正堂,1F郵局L燈力,3.33
167,2017-02-15,3,北區,中正堂,1F郵局L燈力,2.67
168,2017-02-16,4,北區,中正堂,1F郵局L燈力,3.19
169,2017-02-17,5,北區,中正堂,1F郵局L燈力,3.5
170,2017-02-18,6,北區,中正堂,1F郵局L燈力,2.53
171,2017-02-19,7,北區,中正堂,1F郵局L燈力,2.56
172,2017-02-20,1,北區,中正堂,1F郵局L燈力,2.97
173,2017-02-21,2,北區,中正堂,1F郵局L燈力,3.35
174,2017-02-22,3,北區,中正堂,1F郵局L燈力,2.78
175,2017-02-23,4,北區,中正堂,1F郵局L燈力,2.49
176,2017-02-24,5,北區,中正堂,1F郵局L燈力,2.44
177,2017-02-25,6,北區,中正堂,1F郵局L燈力,2.48
178,2017-02-26,7,北區,中正堂,1F郵局L燈力,2.5
179,2017-02-27,1,北區,中正堂,1F郵局L燈力,2.51
180,2017-02-28,2,北區,中正堂,1F郵局L燈力,2.51
181,2017-03-01,3,北區,中正堂,1F郵局L燈力,2.51
182,2017-03-02,4,北區,中正堂,1F郵局L燈力,2.52
183,2017-03-03,5,北區,中正堂,1F郵局L燈力,2.48
184,2017-03-04,6,北區,中正堂,1F郵局L燈力,2.5
185,2017-03-05,7,北區,中正堂,1F郵局L燈力,2.52
186,2017-03-06,1,北區,中正堂,1F郵局L燈力,2.45
187,2017-03-07,2,北區,中正堂,1F郵局L燈力,2.43
188,2017-03-08,3,北區,中正堂,1F郵局L燈力,2.41
189,2017-03-09,4,北區,中正堂,1F郵局L燈力,2.44
190,2017-03-10,5,北區,中正堂,1F郵局L燈力,2.42
191,2017-03-11,6,北區,中正堂,1F郵局L燈力,2.45
192,2017-03-12,7,北區,中正堂,1F郵局L燈力,2.46
193,2017-03-13,1,北區,中正堂,1F郵局L燈力,2.45
194,2017-03-14,2,北區,中正堂,1F郵局L燈力,2.46
195,2017-03-15,3,北區,中正堂,1F郵局L燈力,2.43
196,2017-03-16,4,北區,中正堂,1F郵局L燈力,2.44
197,2017-03-17,5,北區,中正堂,1F郵局L燈力,2.42
198,2017-03-18,6,北區,中正堂,1F郵局L燈力,2.42
