weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
6,2017/7/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9517
7,2017/7/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9320
1,2017/7/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10617
2,2017/8/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11192
3,2017/8/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10896
4,2017/8/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10779
5,2017/8/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10689
6,2017/8/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9405
7,2017/8/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9078
1,2017/8/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10525
2,2017/8/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10753
3,2017/8/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11020
4,2017/8/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11148
5,2017/8/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10937
6,2017/8/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9689
7,2017/8/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9413
1,2017/8/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10744
2,2017/8/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10883
3,2017/8/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10598
4,2017/8/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10707
5,2017/8/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10723
6,2017/8/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9313
7,2017/8/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9158
1,2017/8/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10832
2,2017/8/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10977
3,2017/8/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10308
4,2017/8/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10353
5,2017/8/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10588
6,2017/8/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9123
7,2017/8/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9095
1,2017/8/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10799
2,2017/8/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10765
3,2017/8/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10921
4,2017/8/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10856
