weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2,2016/11/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11303
3,2016/11/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11563.5
4,2016/11/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11556
5,2016/11/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11242.5
6,2016/11/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10391
7,2016/11/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10084
1,2016/11/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11410.5
2,2016/11/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11468.5
3,2016/11/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11049
4,2016/11/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10886
5,2016/11/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10808
6,2016/11/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10132
7,2016/11/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8001
1,2016/11/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9253
2,2016/11/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10275
3,2016/11/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10595.5
4,2016/12/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10217.5
5,2016/12/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9975
6,2016/12/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9442
7,2016/12/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9296
1,2016/12/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10269
2,2016/12/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10106
3,2016/12/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9990
4,2016/12/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10106
5,2016/12/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9811
6,2016/12/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9192
7,2016/12/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9028.5
1,2016/12/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10276
2,2016/12/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10443.5
3,2016/12/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10052
