Date,Area,Building_name,Loop,Type,Usage
2017/06,北區,學生十舍,主迴路 ,宿舍,54789
2016/10,北區,學生十舍,主迴路 ,宿舍,55617.44
2017/05,北區,學生十舍,主迴路 ,宿舍,58176.38
2016/09,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,0
2017/08,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,0
2017/08,南區,學生十三舍 ,社團,宿舍,0
2017/08,南區,學生十三舍 ,1F便利超商,外租,0
2016/10,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,76
2017/02,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,207.84
2017/07,南區,學生十三舍 ,社團,宿舍,224.46
2017/07,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,259.36
2017/03,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,317.54
2016/11,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,340.6
2017/02,南區,學生十三舍 ,社團,宿舍,347.62
2017/04,南區,學生十三舍 ,社團,宿舍,356.07
2017/03,南區,學生十三舍 ,社團,宿舍,397.83
2017/04,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,437.28
2016/12,南區,學生十三舍 ,社團,宿舍,457.51
2017/05,南區,學生十三舍 ,社團,宿舍,460.78
2016/11,南區,學生十三舍 ,社團,宿舍,551.92
2016/12,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,672.77
2017/05,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,890.28
2017/01,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,1486.86
2017/06,南區,學生十三舍 ,閱覽交誼廳 ,宿舍,4723.78
2017/07,南區,學生十三舍 ,1F便利超商,外租,6940.88
2017/02,南區,學生十三舍 ,1F便利超商,外租,11170.38
2017/03,南區,學生十三舍 ,1F便利超商,外租,14233.38
2017/04,南區,學生十三舍 ,1F便利超商,外租,14294.88
2016/12,南區,學生十三舍 ,1F便利超商,外租,14931.5
2017/05,南區,學生十三舍 ,1F便利超商,外租,15119.88
2016/11,南區,學生十三舍 ,1F便利超商,外租,16067.75
2016/09,南區,學生十三舍 ,社團,宿舍,26137.44
2016/10,南區,學生十三舍 ,社團,宿舍,26831.48
2017/01,南區,學生十三舍 ,社團,宿舍,28166.96
2017/06,南區,學生十三舍 ,社團,宿舍,30235.04
2017/02,南區,學生十三舍 ,主迴路 ,宿舍,72407
2017/08,南區,學生十三舍 ,主迴路 ,宿舍,73074
2017/07,南區,學生十三舍 ,主迴路 ,宿舍,75125
2017/04,南區,學生十三舍 ,主迴路 ,宿舍,81964
2016/12,南區,學生十三舍 ,主迴路 ,宿舍,83417
2017/06,南區,學生十三舍 ,主迴路 ,宿舍,86382
2016/10,南區,學生十三舍 ,主迴路 ,宿舍,88269
2017/05,南區,學生十三舍 ,主迴路 ,宿舍,89854
2016/09,南區,學生十三舍 ,1F便利超商,外租,1803123
2016/10,南區,學生十三舍 ,1F便利超商,外租,1830174
2017/01,南區,學生十三舍 ,1F便利超商,外租,1867996
2017/06,南區,學生十三舍 ,1F便利超商,外租,1931433
2016/11,南區,學生十三舍 ,主迴路 ,宿舍,9097471
2017/01,南區,學生十三舍 ,主迴路 ,宿舍,9295091
2017/03,南區,學生十三舍 ,主迴路 ,宿舍,9390490
2016/09,南區,學生十三舍 ,主迴路 ,宿舍,17739640
2017/08,南區,學生十二舍 ,主迴路 ,宿舍,20491
2017/07,南區,學生十二舍 ,主迴路 ,宿舍,27322
2017/02,南區,學生十二舍 ,主迴路 ,宿舍,32234.5
2016/12,南區,學生十二舍 ,主迴路 ,宿舍,49630.5
2016/11,南區,學生十二舍 ,主迴路 ,宿舍,55066
2017/03,南區,學生十二舍 ,主迴路 ,宿舍,55138
2017/04,南區,學生十二舍 ,主迴路 ,宿舍,61597.5
2016/10,南區,學生十二舍 ,主迴路 ,宿舍,69070
2017/06,南區,學生十二舍 ,主迴路 ,宿舍,69621
2017/05,南區,學生十二舍 ,主迴路 ,宿舍,77176.5
2016/09,南區,學生十二舍 ,主迴路 ,宿舍,5328670
2017/01,南區,學生十二舍 ,主迴路 ,宿舍,5576767
2017/02,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,15851.25
2017/01,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,16082
2016/12,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,18125.75
2017/03,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,19931.5
2017/04,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,21457.25
2016/11,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,22105.75
2017/05,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,34217
2016/10,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,41368
2016/09,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,42612
2017/06,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,47019.5
2017/07,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,53328.75
2017/08,北區,學生十一舍_研一舍 ,主迴路 ,宿舍,54817.25
2017/02,北區,學生十一舍 ,主迴路 ,宿舍,9449.63
2017/01,北區,學生十一舍 ,主迴路 ,宿舍,9981.75
2016/12,北區,學生十一舍 ,主迴路 ,宿舍,11045.75
2017/07,北區,學生十一舍 ,主迴路 ,宿舍,11160.63
2017/08,北區,學生十一舍 ,主迴路 ,宿舍,11266.38
2016/11,北區,學生十一舍 ,主迴路 ,宿舍,11374.88
2017/04,北區,學生十一舍 ,主迴路 ,宿舍,11393.63
2016/09,北區,學生十一舍 ,主迴路 ,宿舍,11733.75
2017/03,北區,學生十一舍 ,主迴路 ,宿舍,12037.63
2017/06,北區,學生十一舍 ,主迴路 ,宿舍,12413.13
2017/05,北區,學生十一舍 ,主迴路 ,宿舍,12572.5
2016/10,北區,學生十一舍 ,主迴路 ,宿舍,12599.75
2016/09,南區,學生八舍,主迴路 ,宿舍,0
2016/10,南區,學生八舍,主迴路 ,宿舍,0
2016/11,南區,學生八舍,主迴路 ,宿舍,0
2016/12,南區,學生八舍,主迴路 ,宿舍,0
2017/01,南區,學生八舍,主迴路 ,宿舍,0
2017/02,南區,學生八舍,主迴路 ,宿舍,0
2017/03,南區,學生八舍,主迴路 ,宿舍,0
2017/04,南區,學生八舍,主迴路 ,宿舍,0
2017/05,南區,學生八舍,主迴路 ,宿舍,0
2017/06,南區,學生八舍,主迴路 ,宿舍,0
2017/07,南區,學生八舍,主迴路 ,宿舍,0
2017/08,南區,學生八舍,主迴路 ,宿舍,0
2017/02,北區,學生九舍,主迴路 ,宿舍,24372.56
2017/01,北區,學生九舍,主迴路 ,宿舍,27847.31
2017/03,北區,學生九舍,主迴路 ,宿舍,33479.38
2016/12,北區,學生九舍,主迴路 ,宿舍,34607.25
2016/11,北區,學生九舍,主迴路 ,宿舍,41770.88
2017/04,北區,學生九舍,主迴路 ,宿舍,43276.5
2016/09,北區,學生九舍,主迴路 ,宿舍,55837.63
2017/05,北區,學生九舍,主迴路 ,宿舍,59728.31
2016/10,北區,學生九舍,主迴路 ,宿舍,61320.13
2017/07,北區,學生九舍,主迴路 ,宿舍,63354.81
2017/08,北區,學生九舍,主迴路 ,宿舍,63472.13
